Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
300000,730.16327,0.9274966,186.36363636363637,220.26676046198065,220.26676046198065,190339.6,0.028582864,0.0002700564,1.0
310000,556.229,0.9272837,214.94871794871796,74.1461229066591,74.1461229066591,14540748.0,0.026280014,0.00026903054,1.0
320000,665.24817,0.9266387,292.4634146341463,39283.830749988556,39283.830749988556,7161445.0,0.01882584,0.0002680012,1.0
330000,668.49084,0.92532146,158.52830188679246,-543.5855261369185,-543.5855261369185,None,None,None,1.0
340000,768.6371,0.92544174,191.60714285714286,12081.234609127045,12081.234609127045,10168773.0,0.024023222,0.0002669737,1.0
350000,584.41284,0.9252349,207.13953488372093,4229.323018074036,4229.323018074036,196669.6,0.020802598,0.00026594786,1.0
360000,725.2365,0.92607176,218.86274509803923,5196.60709957048,5196.60709957048,5247176.0,0.021047156,0.00026491753,1.0
370000,684.90125,0.9266229,177.52,-162.73448087731185,-162.73448087731185,121061.63,0.02555974,0.0002638876,1.0
380000,710.92773,0.9266904,243.90697674418604,25188.616289745678,25188.616289745678,16171708.0,0.017888296,0.00026286175,1.0
390000,663.152,0.9267384,211.80851063829786,5389.022192041924,5389.022192041924,1202450.9,0.0229805,0.00026183532,1.0
400000,692.1753,0.92576873,214.75,10119.48956743876,10119.48956743876,7970357.5,0.021819731,0.00026080656,1.0
410000,706.5795,0.92528754,190.16363636363636,4565.862778769599,4565.862778769599,394501.56,0.03175319,0.00025978204,1.0
420000,778.7893,0.9258426,191.68627450980392,353.4158151333149,353.4158151333149,1748910.0,0.027438128,0.00025875255,1.0
430000,745.98846,0.926359,176.76,59.29957550048828,59.29957550048828,160362.27,0.023061285,0.0002577269,1.0
440000,711.0985,0.9268541,211.09615384615384,7630.765619689343,7630.765619689343,3214949.5,0.024687408,0.00025669902,1.0
450000,721.7885,0.92698586,166.18965517241378,-216.6459228783323,-216.6459228783323,124163.836,0.028633628,0.00025567051,1.0
460000,753.4244,0.9267768,163.75438596491227,1509.9048052642304,1509.9048052642304,1686222.6,0.020137541,0.00025464082,1.0
470000,763.68854,0.92617184,185.9090909090909,6019.5297717007725,6019.5297717007725,2660842.8,0.020009987,0.0002536141,1.0
480000,716.1681,0.9244878,215.85106382978722,11516.319163302158,11516.319163302158,4448391.0,0.021680472,0.00025258996,1.0
490000,764.96814,0.9231337,179.140350877193,10.903355782492119,10.903355782492119,406890.44,0.02864488,0.00025156472,1.0
500000,732.8969,0.9223376,195.41666666666666,2848.8103795051575,2848.8103795051575,1179850.5,0.027713021,0.00025053546,1.0
510000,673.25793,0.9213891,249.32558139534885,18975.143842243015,18975.143842243015,9489867.0,0.020893889,0.0002495086,1.0
520000,759.1572,0.9202961,214.02272727272728,1129.5489334106446,1129.5489334106446,101355.13,0.031715732,0.00024848053,1.0
